CLOCK
# Station ID	Delay (usec)	Rate (usec)
Aa              2107.147        0.019e-12 
Ax              -0.200          -0.272e-12
Lm              -0.398          -4.083e-12
Mm              0.407           0.208e-12
Mg              0.498           -2.243e-12
Gl              -0.623          -6.470e-12
Pv              0.266           -0.038e-12
Sz              -0.090          -1.285e-12
